Station ID,Station name,Variable,Position/depth (AGL) (m),Sensor Mfg,Sensor Model
BZNM8,Bozeman,FF [m/s],10,RM Young,09101
BRYM8,Brady NE,FF [m/s],10,RM Young,05108-74
BDVM8,Broadview,FF [m/s],10,RM Young,09106
BSEM8,Big Sandy SE,FF [m/s],10,RM Young,05108-74
BUFM8,Buffalo Lake E,FF [m/s],10,RM Young,05108-74
BUSM8,Busby S,FF [m/s],10,RM Young,05108-74
BYUM8,Bynum W,FF [m/s],10,RM Young,05108-74
CRNM8,Carter N,FF [m/s],10,RM Young,05108-74
CHSM8,Chester SW,FF [m/s],10,RM Young,05108-74
CSTM8,Christina W,FF [m/s],10,RM Young,05108-74
CFCM8,Coffee Creek N,FF [m/s],10,RM Young,05108-74
CNNM8,Conrad N,FF [m/s],10,RM Young,05108-74
COOM8,Cooney Reservoir NW,FF [m/s],10,RM Young,05108-74
CROM8,Crow Agency,FF [m/s],10,RM Young,09106
DOGM8,Dog Gun Lake E,FF [m/s],10,RM Young,05108-74
DRYM8,Dry Lake,FF [m/s],10,RM Young,05108-74
DYRM8,Dupuyer N,FF [m/s],10,RM Young,05108-74
FRGM8,Forestgrove N,FF [m/s],10,RM Young,05108-74
FOXM8,Fox Crossing SW,FF [m/s],10,RM Young,05108-74
HWTM8,Harlowton E,FF [m/s],10,RM Young,05108-74
HAEM8,Havre,FF [m/s],10,RM Young,09106
HIWM8,Highwood Bench,FF [m/s],10,RM Young,05108-74
HOGM8,Hogeland SW,FF [m/s],10,RM Young,05108-74
HNTM8,Huntley E,FF [m/s],10,RM Young,05108-74
IGMM8,Ingomar,FF [m/s],10,RM Young,09106
INNM8,Inverness N,FF [m/s],10,RM Young,05108-74
ISSM8,Inverness S,FF [m/s],10,RM Young,05108-74
JGPM8,Judith Gap,FF [m/s],10,RM Young,05108-74
LTBM8,Lake Thibadeau W,FF [m/s],10,RM Young,05108-74
LMDM8,Lame Deer E,FF [m/s],10,RM Young,05108-74
LVAM8,Lavina N,FF [m/s],10,RM Young,05108-74
LGGM8,Lodge Grass W,FF [m/s],10,RM Young,05108-74
LOAM8,Loma N,FF [m/s],10,RM Young,05108-74
LORM8,Loring SW,FF [m/s],10,RM Young,05108-74
MTRM8,Matador Ranch,FF [m/s],10,RM Young,05108-74
MLVM8,Melville,FF [m/s],10,RM Young,09106
RADM8,Midway Colony,FF [m/s],10,RM Young,05108-74
MCYM8,Miles City,FF [m/s],10,RM Young,09106
MINM8,Mission Lake S,FF [m/s],10,RM Young,05108-74
MCIM8,Moccasin,FF [m/s],10,RM Young,05108-74
MOTM8,Molt S,FF [m/s],10,RM Young,05108-74
